monomer,smiles,canonical_smiles,track,value_reported,observable,reference_electrode,solvent,electrolyte,electrode,scan_rate,value_vs_AgAgCl_V,conversion_note,source_doi,confidence,needs_review,parse_status,quarantine_reason
Selenophene,c1cc[se]c1,c1cc[se]c1,onset,1.60 V,onset,SCE,MeCN,0.1 M TBABF₄,Pt disk,100 mV/s,1.645,exact (SCE +0.045),10.2478/s13536-014-0257-2,med,true,parsed_but_flagged,selenophene_se_token_toolkit_check
EDOS,C1COc2cc[se]c2O1,c1cc2c([se]1)OCCO2,onset,1.09 V,onset,Ag/Ag⁺ (Fc/Fc⁺ = 0.40 V),MeCN,0.1 M TBAClO₄,Pt disk,100 mV/s,1.135,via internal Fc cal (exact),10.1039/D0RA01436B,med,true,parsed_but_flagged,selenophene_se_token_toolkit_check
